run,dataset,task,split,item_id,language,language_name,dimension,human_label,human_label_text,candidate_chars,source_chars,reference_chars,has_source,has_reference,summary_model,wmt_system,wmt_year,wmt_human_score
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_013781_1shot,en-US,English,comprehensibility,0,no,8,0,0,False,False,1shot,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_009783_mt5_small,en-US,English,comprehensibility,0,no,85,0,0,False,False,mt5_small,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_001396_reference,en-US,English,comprehensibility,1,yes,113,0,0,False,False,reference,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_007477_reference,en-US,English,comprehensibility,0,no,59,0,0,False,False,reference,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_013817_1shot,en-US,English,comprehensibility,1,yes,294,0,0,False,False,1shot,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_009724_mt5_small,en-US,English,comprehensibility,1,yes,82,0,0,False,False,mt5_small,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_005541_reference,en-US,English,comprehensibility,1,yes,106,0,0,False,False,reference,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_005510_mt5_xxl,en-US,English,comprehensibility,1,yes,116,0,0,False,False,mt5_xxl,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_012009_t5_base,en-US,English,comprehensibility,0,no,86,0,0,False,False,t5_base,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_001765_t5_base,en-US,English,comprehensibility,1,yes,103,0,0,False,False,t5_base,,,
candidate n50,seahorse,summarization_candidate_quality,test,seahorse_test_en-US_comprehensibility_001380_mt5_xxl,en-US,English,comprehensibility,1,yes,261,0,0,False,False,mt5_xxl,,,
