run,prompt_file,prompt_id,dataset,judge_model,language,dimension,protocol,protocol_name,system_chars,user_chars,messages
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013781_1shot__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,544,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013781_1shot__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,341,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013781_1shot__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,696,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009783_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,621,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009783_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,418,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009783_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,773,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001396_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,649,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001396_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,446,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001396_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,801,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007477_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,595,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007477_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,392,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007477_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,747,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013817_1shot__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,830,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013817_1shot__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,627,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013817_1shot__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,982,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009724_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,618,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009724_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,415,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009724_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,770,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005541_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,642,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005541_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,439,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005541_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,794,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005510_mt5_xxl__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,652,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005510_mt5_xxl__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,449,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005510_mt5_xxl__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,804,2
